date;series_1;series_2
13.01.04;9933.38;3922.11
14.01.04;9897.62;3964.13
15.01.04;9886.93;3912.4
16.01.04;9865.76;3934.06
17.01.04;9757.81;3935.14
18.01.04;9749.99;3854.41
19.01.04;9888.48;3862.26
20.01.04;10004.54;3959.59
21.01.04;10027.47;3960.25
22.01.04;10054.39;4012.64
23.01.04;10137.05;4039.04
24.01.04;10314.76;4041.38
25.01.04;10387.54;4063.58
26.01.04;10391.31;4068.97
27.01.04;10386.37;4065.33
28.01.04;10385.48;4089.13
29.01.04;10469.84;4130.81
30.01.04;10539.01;4143.35
31.01.04;10550.24;4134.34
01.02.04;10487.65;4117.22
02.02.04;10549.57;4183.41
03.02.04;10572.55;4178.68
04.02.04;10456.91;4134.89
05.02.04;10489.42;4123.98
06.02.04;10492.6;4113.37
07.02.04;10520.31;4125.3
08.02.04;10520.31;4160.35
09.02.04;10428.02;4126.0
10.02.04;10585.12;4216.4
11.02.04;10547.06;4193.91
12.02.04;10440.58;4212.62
13.02.04;10494.23;4201.35
14.02.04;10552.82;4150.41
15.02.04;10543.22;4174.55
16.02.04;10638.32;4219.24
17.02.04;10676.45;4231.3
18.02.04;10691.45;4213.69
19.02.04;10705.64;4233.71
20.02.04;10649.92;4182.27
21.02.04;10661.6;4211.55
22.02.04;10759.43;4214.39
23.02.04;10815.89;4241.28
24.02.04;10827.12;4251.62
25.02.04;10827.12;4251.62
26.02.04;10776.13;4235.36
27.02.04;10854.54;4261.79
28.02.04;10829.19;4247.75
29.02.04;10800.3;4256.08
01.03.04;10783.01;4256.08
02.03.04;10597.83;4258.24
03.03.04;10622.88;4300.94
04.03.04;10603.96;4316.4
05.03.04;10621.03;4307.37
06.03.04;10556.22;4258.01
07.03.04;10617.78;4208.82
08.03.04;10505.83;4212.14
09.03.04;10558.0;4232.36
10.03.04;10558.0;4245.51
11.03.04;10539.97;4245.55
12.03.04;10471.47;4220.43
13.03.04;10392.99;4213.7
14.03.04;10461.56;4233.95
15.03.04;10498.59;4214.12
16.03.04;10467.4;4216.41
17.03.04;10427.2;4201.81
18.03.04;10489.94;4254.85
19.03.04;10551.94;4279.97
20.03.04;10596.79;4296.31
21.03.04;10593.1;4281.64
22.03.04;10716.13;4339.28
23.03.04;10715.76;4366.35
24.03.04;10724.63;4371.39
25.03.04;10664.11;4353.15
26.03.04;10749.61;4342.01
27.03.04;10796.01;4387.8
28.03.04;10791.13;4386.4
29.03.04;10834.88;4368.77
30.03.04;10754.26;4369.68
31.03.04;10785.22;4359.47
01.04.04;10785.22;4353.34
02.04.04;10611.2;4323.21
03.04.04;10673.79;4310.66
04.04.04;10748.79;4304.29
05.04.04;10841.6;4348.64
06.04.04;10766.23;4350.49
07.04.04;10830.0;4383.62
08.04.04;10811.97;4393.43
09.04.04;10940.55;4423.52
10.04.04;10936.86;4428.09
11.04.04;10912.62;4396.5
12.04.04;10805.62;4375.6
13.04.04;10851.51;4337.68
14.04.04;10804.51;4367.3
15.04.04;10745.1;4387.69
16.04.04;10626.35;4315.92
17.04.04;10629.67;4327.18
18.04.04;10565.39;4296.36
19.04.04;10470.51;4320.69
20.04.04;10456.02;4317.2
21.04.04;10442.87;4343.6
22.04.04;10485.65;4343.6
23.04.04;10405.7;4351.89
24.04.04;10540.93;4347.52
25.04.04;10503.76;4348.77
26.04.04;10404.3;4373.53
27.04.04;10421.14;4341.39
28.04.04;10458.46;4362.61
29.04.04;10546.32;4389.52
30.04.04;10461.34;4400.68
01.05.04;10448.56;4396.09
02.05.04;10507.97;4372.12
03.05.04;10403.93;4405.69
04.05.04;10087.51;4312.25
05.05.04;10071.25;4202.2
06.05.04;10127.41;4204.61
07.05.04;10012.36;4178.62
08.05.04;10218.6;4193.7
09.05.04;10157.71;4223.04
10.05.04;10242.47;4246.96
11.05.04;10151.13;4233.76
12.05.04;10198.8;4189.02
13.05.04;10070.37;4178.1
14.05.04;10192.51;4184.84
15.05.04;10251.7;4224.02
16.05.04;10256.95;4245.54
17.05.04;10384.64;4264.35
18.05.04;10340.38;4299.51
19.05.04;10345.4;4311.06
20.05.04;10281.11;4251.13
21.05.04;10300.25;4244.16
22.05.04;10189.48;4267.05
23.05.04;10140.12;4275.7
24.05.04;10252.29;4262.18
25.05.04;10464.45;4324.6
26.05.04;10471.91;4360.68
27.05.04;10523.56;4406.95
28.05.04;10537.6;4436.6
29.05.04;10542.55;4480.43
30.05.04;10467.48;4460.63
31.05.04;10549.87;4527.17
01.06.04;10553.49;4532.17
02.06.04;10467.03;4497.26
03.06.04;10483.07;4566.01
04.06.04;10476.86;4557.29
05.06.04;10503.02;4562.75
06.06.04;10512.63;4586.1
07.06.04;10522.56;4599.21
08.06.04;10547.57;4591.69
09.06.04;10578.65;4579.87
10.06.04;10623.07;4604.57
11.06.04;10609.11;4586.86
12.06.04;10599.67;4608.11
13.06.04;10421.44;4627.48
14.06.04;10297.84;4566.48
15.06.04;10290.78;4523.82
16.06.04;10405.63;4557.46
17.06.04;10303.44;4617.07
18.06.04;10303.44;4623.41
19.06.04;10371.8;4603.65
20.06.04;10270.68;4615.49
21.06.04;10302.29;4530.18
22.06.04;10449.14;4597.97
23.06.04;10519.72;4663.38
24.06.04;10513.89;4653.03
25.06.04;10557.39;4679.89
26.06.04;10628.89;4699.27
27.06.04;10640.83;4712.9
28.06.04;10574.99;4719.57
29.06.04;10646.56;4770.54
30.06.04;10689.15;4784.5
01.07.04;10627.77;4829.87
02.07.04;10651.18;4836.9
03.07.04;10596.48;4842.7
04.07.04;10579.77;4843.49
05.07.04;10705.55;4892.5
06.07.04;10640.91;4886.5
07.07.04;10623.15;4890.85
08.07.04;10683.74;4932.87
09.07.04;10610.1;4874.06
10.07.04;10536.93;4837.86
11.07.04;10615.67;4909.48
12.07.04;10594.41;4990.57
13.07.04;10685.89;4953.93
14.07.04;10600.31;4937.33
15.07.04;10634.38;4922.34
16.07.04;10513.45;4883.81
17.07.04;10550.71;4871.46
18.07.04;10559.23;4929.91
19.07.04;10569.89;4941.69
20.07.04;10519.58;4917.74
21.07.04;10434.87;4915.95
22.07.04;10450.63;4856.01
23.07.04;10397.29;4783.8
24.07.04;10463.05;4812.24
25.07.04;10481.6;4829.69
26.07.04;10459.63;4842.94
27.07.04;10447.37;4837.81
28.07.04;10447.37;4909.89
29.07.04;10595.93;4992.75
30.07.04;10678.56;5005.93
31.07.04;10682.94;4989.98
01.08.04;10597.44;4901.88
